title,creators,collection,tags,description
Happiest Man on Earth,Eddie Jaku,Philippines,"memoir, autobiography","A New York Times Bestseller In this uplifting memoir in the vein of The Last Lecture and Man's Search for Meaning, a Holocaust survivor pays tribute to those who were lost by telling his story, sharing his wisdom, and living his best possible life. Born in Leipzig, Germany, into a Jewish family, Eddie Jaku was a teenager when his world was turned upside-down. On November 9, 1938, during the terrifying violence of Kristallnacht, the Night of Broken Glass, Eddie was beaten by SS thugs, arrested, and sent to a concentration camp with thousands of other Jews across Germany. Every day of the next seven years of his life, Eddie faced unimaginable horrors in Buchenwald, Auschwitz, and finally on a forced death march during the Third Reich's final days. The Nazis took everything from Eddie--his family, his friends, and his country. But they did not break his spirit. Against unbelievable odds, Eddie found the will to survive. Overwhelming grateful, he made a promise: he would smile every day in thanks for the precious gift he was given and to honor the six million Jews murdered by Hitler. Today, at 100 years of age, despite all he suffered, Eddie calls himself the ""happiest man on earth."" In his remarkable memoir, this born storyteller shares his wisdom and reflects on how he has led his best possible life, talking warmly and openly about the power of gratitude, tolerance, and kindness. Life can be beautiful if you make it beautiful. With The Happiest Man on Earth, Eddie shows us how. Filled with his insights on friendship, family, health, ethics, love, and hatred, and the simple beliefs that have shaped him, The Happiest Man on Earth offers timeless lessons for readers of all ages, especially for young people today."
Study in Scarlet: A Sherlock Holmes Adventure (Collins Classics),Sir Arthur Conan Doyle,Philippines,fiction,"HarperCollins is proud to present its new range of best-loved, essential classics. There's the scarlet thread of murder running through the colourless skein of life, and our duty is to unravel it. After a harrowing tour in Afghanistan, Dr Watson returns to London to convalesce at 221B Baker Street, home to the enigmatic Sherlock Holmes. Their lives are irrevocably thrown together by news that a man has been found dead in a grimy 'ill-omened' house, with the word 'rache' - German for revenge - written in blood on the wall. This grisly discovery is complicated further by the look of utter horror on the victim's face, and the complete absence of any wounds on the body or sign of a struggle. First published in 1887, 'A Study in Scarlet' is the remarkable first-outing of one of literature's most famous partnerships."
Rich Dad's Cashflow Quadrant: Guide to Financial Freedom,Robert Kiyosaki,Philippines,"self-help, business",Book by Robert Kiyosaki
Alchemist: A Fable About Following Your Dream,"Paulo Coelho, Amy Jurskis",Philippines,"self-help, fiction","""My heart is afraid that it will have to suffer,"" the boy told the alchemist one night as they looked up at the moonless sky."" Tell your heart that the fear of suffering is worse than the suffering itself. And that no heart has ever suffered when it goes in search of its dreams."" The Alchemist is the magical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure as extravagant as any ever found. From his home in Spain he journeys to the markets of Tangiers and across the Egyptian desert to a fateful encounter with the alchemist. The story of the treasures Santiago finds along the way teaches us, as only a few stories have done, about the essential wisdom of listening to our hearts, learning to read the omens strewn along life's path, and, above all, following our dreams. Every few decades a book is published that changes the lives of its readers forever. The Alchemist is such a book. With over a million and a half copies sold around the world, The Alchemist has already established itself as a modern classic, universally admired. Paulo Coelho's charming fable, now available in English for the first time, will enchant and inspire an even wider audience of readers for generations to come."
Algebra of Happiness,Scott Galloway,Philippines,"self-help, business","From the New York Times bestselling author, a provocative book of hard-won wisdom for achieving a fulfilling career and life. - How can you have a meaningful career, not just a lucrative one? - Is a work/life balance really possible? - What does it take to make a long-term relationship succeed? - What can you do now so there are no regrets aged 40, 50 or 80? As Scott Galloway puts it, by the time you hit your mid twenties sh*t gets real. Life become stressful. Even the smart, the hard working and the elite can feel lost in a chaotic, noisy and unpredictable world. As a professor at New York University's Stern School of Business, the debate in Galloway's MBA class often veers away from business strategy to the challenging issue of life strategies. Which is why Galloway, in his signature, take-no-prisoners style, has developed a dynamic formula for a life well lived. In The Algebra of Happiness Galloway tells you how life can be navigated and negotiated better to maximise happiness and minimise the inevitable stress. Delivering practical advice and hard-won wisdom on everything from when to own property to how hard to work, this is self-help for anyone struggling with life's big questions. Through simple equations that measure the relationship between success, resilience and failure or the correlation between happiness and money, Galloway attempts to convert intangible advice to tangible equations."
Monsters And Magic - NLP Coaching and Couseling Stories,"Emmanuel F. Silan, PHD",Philippines,"self-help, psychology","Monsters and Magic – NLP Coaching and Counseling Stories is a book that uses Neuro-Linguistic Programming (NLP) techniques to explore personal transformation through storytelling. It shares real-life coaching and counseling experiences, illustrating how NLP can help people overcome fears, change limiting beliefs, and achieve personal growth. The book blends psychology, metaphors, and practical strategies for self-improvement."
Heartbreaking Work of Staggering Genius,Dave Eggers,Philippines,fiction,"National Bestseller The literary sensation of the year, a book that redefines both family and narrative for the twenty-first century. A Heartbreaking Work of Staggering Genius is the moving memoir of a college senior who, in the space of five weeks, loses both of his parents to cancer and inherits his eight-year-old brother. Here is an exhilarating debut that manages to be simultaneously hilarious and wildly inventive as well as a deeply heartfelt story of the love that holds a family together. A Heartbreaking Work of Staggering Genius is an instant classic that will be read in paperback for decades to come. The Vintage edition includes a new appendix by the author."
Things You Can See Only When You Slow Down: How to Be Calm and Mindful in a Fast-Paced World,Haemin Sunim,Philippines,"self-help, spirituality","A multimillion-copy bestselling book of spiritual wisdom about the importance of slowing down in our fast-paced world“Is it the world that’s busy, or is it my mind?”The world moves fast, but that doesn’t mean we have to. In this bestselling mindfulness guide—it has sold more than three million copies in Korea, where it was a #1 bestseller for forty-one weeks and received multiple Best Book of the Year awards, and it's being published in more than 20 countries—Haemin Sunim (which means ""spontaneous wisdom""), a renowned Buddhist meditation teacher born in Korea and educated in the United States, illuminates a path to inner peace and balance amid the overwhelming demands of everyday life.By offering guideposts to well-being and happiness in eight areas—including relationships, love, and spirituality—Haemin Sunim emphasizes the importance of forging a deeper connection with others and being compassionate and forgiving toward ourselves. The more than twenty full-color illustrations that accompany his teachings serve as calming visual interludes, encouraging us to notice that when you slow down, the world slows down with you."
Never Never,"Colleen Hoover, Tarryn Fisher",Philippines,"fiction, romance","Forgetting is terrifying. Remembering is worse... Charlie Wynwood and Silas Nash have been best friends since they could walk. They've been in love since the age of fourteen. But as of this morning... they are complete strangers. Their first kiss, their first fight, the moment they fell in love... every memory has vanished. Now Charlie and Silas must work together to uncover the truth about what happened to them and why. But the more they learn about the couple they used to be... the more they question why they were ever together to begin with. Forgetting is terrifying, but remembering may be worse. The Number One Sunday Times bestselling author of It Ends with Us joins forces with the New York Times bestselling author of The Wives for a gripping, twisty, romantic mystery unlike any other. Praise for Never Never: 'Gripping' Bella 'Compelling page-turner from a great writing duo' My Weekly 'A glorious thriller - you'll be asking for more!' Chat 'A tortuous romance mystery that will keep you guessing' Sunday Post Readers love Never Never... 'Incredible chemistry between the characters... will keep you glued to the pages' 'Thought provoking, exciting, original, and so romantic' 'Kept me on the edge of my seat' 'Never once did it disappoint' 'Didn't want it to end!' 'Such a good read' 'Couldn't put it down!' 'Refreshingly different... read it in a day' 'Such a captivating concept and plot'"
10x Is Easier Than 2x,"Dan Sullivan, Benjamin Hardy",Philippines,"self-help, business","Expanding upon one of his high-level foundational teachings: Strategic Coach co-founder Dan Sullivan explains why achieving 10X growth is easier than going for 2X growth. Dan Sullivan, the world's leading coach for highly successful entrepreneurs, wants you to know that achieving 10X growth is exponentially easier than striving for 2X growth. Most find this idea confusing at first because simply imagining 10X growth causes them to think they need to do 10X more work to achieve it. However, being a 10X entrepreneur is nothing like what most people think. 10X is not the outcome; it's a counterintuitive process you can apply every time you want exponential growth in your life and business. To make 10X possible, you must focus on expanding what Dan defines as your four most important freedoms--time, money, relationship, and purpose. As your time becomes 10X more valuable, you increasingly multiply the money you earn both in terms of amount and profitable satisfaction. As money becomes a tool you can increasingly access with greater ease, you will engage with a growing number of other freedom-motivated individuals. As both your professional and personal life fills up with 10X more unique and collaborative relationships, you will realize that your most powerful purposes in all areas become 10X more lasting and positive for everyone involved. You will be impressed by what your life has become, and the meaning and impact you're having. 10X is fundamentally about quality vs quantity, and the quality of your freedoms determines the results you achieve."
Heart Bones,Colleen Hoover,Philippines,"fiction, romance","From the #1 New York Times bestselling author of It Ends with Us and It Starts with Us! Moving, passionate, and unforgettable, Colleen Hoover's novel follows two young adults from completely different backgrounds embarking on a tentative romance, unaware of what the future holds. After a childhood filled with poverty and neglect, Beyah Grim finally has her hard-earned ticket out of Kentucky with a full ride to Penn State. But two months before she’s finally free to change her life for the better, an unexpected death leaves her homeless and forced to spend the remainder of her summer in Texas with a father she barely knows. Devastated and anxious for the summer to go by quickly, Beyah has no time or patience for Samson, the wealthy, brooding guy next door. Yet, the connection between them is too intense to ignore. But with their upcoming futures sending them to opposite ends of the country, the two decide to maintain only a casual summer fling. Too bad neither has any idea that a rip current is about to drag both their hearts out to sea."
Get Out of My Head,"Meredith Arthur, Leah Rosenberg (Artist)",Philippines,"self-help, mental health","Calm your thoughts, navigate your stress, and understand your anxiety with this compact illustrated guide for overthinkers everywhere. Are you an overthinker? You're not alone! In a world full of deadlines, and technology, and constant stress, anxiety sometimes feels inevitable. But what if you learned to ride the wave of anxiety, instead of getting lost in it? Get Out of My Head is here to help, providing guidance and inspiration for anxious overthinkers of all sorts. This compact, illustrated book offers soothing techniques for understanding anxiety and moving through the traps of overthinking. Aimed at a modern audience looking for support and community, this beautifully illustrated guide offers a joyful, manageable way to deal with anxiety and quiet stressful thoughts through easy exercises, bite-sized takeaways, and calming visuals. Written by Meredith Arthur, founder of the popular mental health platform Beautiful Voyager, and illustrated by Leah Rosenberg, this charming alternative to technical mental health guides walks readers through the process of building awareness around anxiety, identifying triggers, moving through blocks, building healthy boundaries, and developing an arsenal of tools for thriving. With actionable tips throughout, and a special section on dealing with end-of-year anxieties, this striking volume also includes a small, saddle-stitched secondary book -- meant to act like a weighted blanket in book form for help on the go -- in a concealed internal pocket."
Hound of the Baskervilles: A Sherlock Holmes Adventure (Collins Classics),Sir Arthur Conan Doyle,Philippines,"fiction, thriller","HarperCollins is proud to present its new range of best-loved, essential classics. 'They all agreed that it was a huge creature, luminous, ghastly and spectral.' Originally serialised in The Strand Magazine, Conan Doyle's The Hound of the Baskervilles follows the infamous Sherlock Holmes and Dr Watson as they investigate the mysterious death of Sir Charles Baskerville, whose dead body is found on the misty and desolate Devon moors. The locals blame his death on the legend of the fearsome phantom hound that they claim has haunted the Baskerville family for generations. When the heir to the Baskerville fortune, Sir Henry, also comes under threat Holmes' detective skills are put to the test as he battles to discover the truth behind the legend and to solve one of the most macabre mysteries of his career."
Book Of Disquiet (Penguin Modern Classics),Fernando Pessoa,Philippines,fiction,"With its astounding hardcover reviews Richard Zenith's new complete translation of THE BOOK OF DISQUIET has now taken on a similar iconic status to ULYSSES, THE TRIAL or IN SEARCH OF LOST TIME as one of the greatest but also strangest modernist texts. An assembly of sometimes linked fragments, it is a mesmerising, haunting 'novel' without parallel in any other culture."
Tuesdays with Morrie,Mitch Albom,Philippines,"fiction, philosophy, classics, poetry","Maybe it was a grandparent, or a teacher or a colleague. Someone older, patient and wise, who understood you when you were young and searching, and gave you sound advice to help you make your way through it. For Mitch Albom, that person was Morrie Schwartz, his college professor from nearly twenty years ago. Maybe, like Mitch, you lost track of this mentor as you made your way, and the insights faded. Wouldn't you like to see that person again, ask the bigger questions that still haunt you? Mitch Albom had that second chance. He rediscovered Morrie in the last months of the older man's life. Knowing he was dying of ALS - or motor neurone disease - MItch visited Morrie in his study every Tuesday, just as they used to back in college. Their rekindled relationship turned into one final 'class': lessons in how to live. TUESDAYS WITH MORRIE is a magical chronicle of their time together, through which Mitch shares Morrie's lasting gift with the world."
Reasons to Stay Alive,Matt Haig,Philippines,"nonfiction, self-help, pscyhology","One of Entertainment Weekly's 25 most anticipated books of 2016—Matt Haig’s accessible and life-affirming memoir of his struggle with depression, and how his triumph over the illness taught him to live   Like nearly one in five people, Matt Haig suffers from depression. Reasons to Stay Alive is Matt’s inspiring account of how, minute by minute and day by day, he overcame the disease with the help of reading, writing, and the love of his parents and his girlfriend (and now-wife), Andrea. And eventually, he learned to appreciate life all the more for it.   Everyone’s lives are touched by mental illness: if we do not suffer from it ourselves, then we have a friend or loved one who does. Matt’s frankness about his experiences is both inspiring to those who feel daunted by depression and illuminating to those who are mystified by it. Above all, his humor and encouragement never let us lose sight of hope. Speaking as his present self to his former self in the depths of depression, Matt is adamant that the oldest cliché is the truest—there is light at the end of the tunnel. He teaches us to celebrate the small joys and moments of peace that life brings, and reminds us that there are always reasons to stay alive."
Man Called Ove: A Novel,Fredrik Backman,Philippines,"fiction, novel","In this bestselling and “charming debut” (People) from one of Sweden’s most successful authors, a grumpy yet loveable man finds his solitary world turned on its head when a boisterous young family moves in next door.Meet Ove. He’s a curmudgeon—the kind of man who points at people he dislikes as if they were burglars caught outside his bedroom window. He has staunch principles, strict routines, and a short fuse. People call him “the bitter neighbor from hell.” But must Ove be bitter just because he doesn’t walk around with a smile plastered to his face all the time? Behind the cranky exterior there is a story and a sadness. So when one November morning a chatty young couple with two chatty young daughters move in next door and accidentally flatten Ove’s mailbox, it is the lead-in to a comical and heartwarming tale of unkempt cats, unexpected friendship, and the ancient art of backing up a U-Haul. All of which will change one cranky old man and a local residents’ association to their very foundations. A feel-good story in the spirit of The Unlikely Pilgrimage of Harold Fry and Major Pettigrew’s Last Stand, Fredrik Backman’s novel about the angry old man next door is a thoughtful exploration of the profound impact one life has on countless others. “If there was an award for ‘Most Charming Book of the Year,’ this first novel by a Swedish blogger-turned-overnight-sensation would win hands down” (Booklist, starred review)."
Boundary Boss,Terri Cole,Philippines,"self-help, psychology","Break Free From Over-Functioning, Over-Delivering, People-Pleasing, and Ignoring Your Own Needs So You Can Finally Live the Life You Deserve! Most of us were never taught how to effectively express our preferences, desires or deal-breakers. Instead, we hide our feelings behind passive-aggressive behavior, deny our own truths, or push our emotions down until we get depressed or so frustrated that we explode, potentially destroying hard-won trust and relationships. The most successful and satisfied people on the planet have one thing in common: the ability to create and communicate clear, healthy boundaries. This ability is, hands down, the biggest game changer when it comes to creating a healthy, happy, self-determined life. In Boundary Boss, psychotherapist Terri Cole reveals a specific set of skills that can help you stop abandoning yourself for the sake of others (without guilt or drama) and get empowered to consciously take control of every aspect of your emotional, spiritual, physical, personal, and professional life. Since becoming a Boundary Boss is a process, Cole also offers actionable strategies, scripts, and techniques that can be used in the moment, whenever you need them. You will learn: * How to recognize when your boundaries have been violated and what to do next * How your unique ""Boundary Blueprint"" is unconsciously driving your boundary behaviors, and strategies to redesign it * Powerful boundary scripts so in the moment you will know what to say * How to manage ""Boundary Destroyers""--including emotional manipulators, narcissists, and other toxic personalities * Where you fall on the spectrum of codependency and how to create healthy, balanced relationships This book is for women who are exhausted from over-giving, overdoing, and even over-feeling. If you're getting it all done but at the expense of yourself, give yourself the gift of Boundary Boss."
"Diary of a Wimpy Kid, a Novel in Cartoons",Jeff Kinney,Philippines,"comedy, fiction, young adult",The 1st book of the Diary of a Wimpy Kid series. Perfect condition paperback
Happiness for Beginners,Katherine Center,Philippines,"fiction, novel, romance","A year after getting divorced, Helen Carpenter, thirty-two, lets her annoying, ten years younger brother talk her into signing up for a wilderness survival course. It's supposed to be a chance for her to pull herself together again, but when she discovers that her brother's even-more-annoying best friend is also coming on the trip, she can't imagine how it will be anything other than a disaster. Thus begins the strangest adventure of Helen's well-behaved life: three weeks in the remotest wilderness of a mountain range in Wyoming where she will survive mosquito infestations, a surprise summer blizzard, and a group of sorority girls. Yet, despite everything, the vast wilderness has a way of making Helen's own little life seem bigger, too. And, somehow the people who annoy her the most start teaching her the very things she needs to learn. Like how to stand up for herself. And how being scared can make you brave. And how sometimes you just have to get really, really lost before you can even have a hope of being found."
Too Late,Colleen Hoover,Philippines,"thriller, romance, suspense","A psychological suspense novel of obsession and dangerous love. The new, updated edition of Too Late from the #1 New York Times bestselling author of Verity. Sloan will go through hell and back for those she loves. And she does so, every single day. Caught up with the alluring Asa Jackson, a notorious drug trafficker, Sloan has finally found a lifeline to cling to, even if it's meant compromising her morals. She was in dire straits trying to pay for her brother's care until she met Asa. But as Sloan became emotionally and economically reliant on him, he in turn developed a disturbing obsession with her--one that becomes increasingly dangerous every day. When undercover DEA agent Carter enters the picture, Sloan's surprised to feel an immediate attraction between them, despite knowing that if Asa finds out, he will kill him. And Asa has always been a step ahead of everyone in his life, including Sloan. No one has ever gotten in his way. No one except Carter. Together, Sloan and Carter must find a way out before it's too late..."
"Red, White & Royal Blue",Casey McQuiston,Philippines,"fiction, novel, romance","A PopSugar Must-Read Book of 2019! What happens when America's First Son falls in love with the Prince of Wales? When his mother became President, Alex Claremont-Diaz was promptly cast as the American equivalent of a young royal. Handsome, charismatic, genius—his image is pure millennial-marketing gold for the White House. There's only one problem: Alex has a beef with the actual prince, Henry, across the pond. And when the tabloids get hold of a photo involving an Alex-Henry altercation, U.S./British relations take a turn for the worse. Heads of family, state, and other handlers devise a plan for damage control: staging a truce between the two rivals. What at first begins as a fake, Instragramable friendship grows deeper, and more dangerous, than either Alex or Henry could have imagined. Soon Alex finds himself hurtling into a secret romance with a surprisingly unstuffy Henry that could derail the campaign and upend two nations and begs the question: Can love save the world after all? Where do we find the courage, and the power, to be the people we are meant to be? And how can we learn to let our true colors shine through? Casey McQuiston's Red, White & Royal Blue proves: true love isn't always diplomatic. ""I took this with me wherever I went and stole every second I had to read! Absorbing, hilarious, tender, sexy—this book had everything I crave. I’m jealous of all the readers out there who still get to experience Red, White & Royal Blue for the first time!"" - Christina Lauren, New York Times bestselling author of Love and Other Words and Roomies ""Red, White & Royal Blue is outrageously fun. It is romantic, sexy, witty, and thrilling. I loved every second."" - Taylor Jenkins Reid, New York Times bestselling author of Daisy Jones & The Six"
Finding Me,Viola Davis,Philippines,"autobiography, ethnic","""Much-anticipated, emotionally-charged debut memoir from award-winning actor and icon Viola Davis""--"
Kind Worth Killing: A Novel,Peter Swanson,Philippines,"novel, mystery, suspense, fiction, thriller","A devious tale of psychological suspense involving sex, deception, and an accidental encounter that leads to murder. Fans of Paula Hawkins’ The Girl on the Train will love this modern reimagining of Patricia Highsmith’s classic Strangers on a Train from the author of the acclaimed The Girl with a Clock for a Heart—which the Washington Post said “should be a contender for crime fiction’s best first novel of 2014.”On a night flight from London to Boston, Ted Severson meets the stunning and mysterious Lily Kintner. Sharing one too many martinis, the strangers begin to play a game of truth, revealing very intimate details about themselves. Ted talks about his marriage that’s going stale and his wife Miranda, who he’s sure is cheating on him. Ted and his wife were a mismatch from the start—he the rich businessman, she the artistic free spirit—a contrast that once inflamed their passion, but has now become a cliché.But their game turns a little darker when Ted jokes that he could kill Miranda for what she’s done. Lily, without missing a beat, says calmly, “I’d like to help.” After all, some people are the kind worth killing, like a lying, stinking, cheating spouse. . . .Back in Boston, Ted and Lily’s twisted bond grows stronger as they begin to plot Miranda's demise. But there are a few things about Lily’s past that she hasn’t shared with Ted, namely her experience in the art and craft of murder, a journey that began in her very precocious youth.Suddenly these co-conspirators are embroiled in a chilling game of cat-and-mouse, one they both cannot survive . . . with a shrewd and very determined detective on their tail."
Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Philippines,"self-help, spirituality","Rooted in traditional Toltec wisdom beliefs, four agreements in life are essential steps on the path to personal freedom. As beliefs are transformed through maintaining these agreements, shamanic teacher and healer don Miguel Ruiz asserts lives will ""become filled with grace, peace, and unconditional love."""
Sign of the Four (Collins Classics),Sir Arthur Conan Doyle,Philippines,"novel, fiction, mystery","HarperCollins is proud to present its incredible range of best-loved, essential classics. 'I abhor the dull routine of existence. I crave for mental exaltation. That is why I have chosen my own particular profession, or rather created it, for I am the only one in the world...' In London, 1888, the razor-sharp detective skills of Sherlock Holmes are to be put to the test. Mary Morstan reports two seemingly unconnected and inexplicable events: the disappearance of her father, a British Indian Army Captain, and the arrival of pearls by post from an unknown sender. Driven on by its complexity, Holmes and Watson slowly begin to unravel an intricate web of exotic treasure, secret pacts and mysterious deaths. One of only four novels featuring Sherlock Holmes and his trusty sidekick Watson, 'The Sign of the Four' will delight those who have been captivated by Arthur Conan Doyle's short stories."
Midnight Sun,Stephenie Meyer,Philippines,"novel, fiction, young adult, romance, fantasy",It's here! #1 bestselling author Stephenie Meyer makes a triumphant return to the world of Twilight with this highly-anticipated companion: the iconic love story of Bella and Edward told from the vampire's point of view.
Light We Carry: Overcoming in Uncertain Times,Michelle Obama,Philippines,"autobiography, self-help, memoir","In an inspiring follow-up to her critically acclaimed, #1 bestselling memoir Becoming, former First Lady Michelle Obama shares practical wisdom and powerful strategies for staying hopeful and balanced in today’s highly uncertain world. There may be no tidy solutions or pithy answers to life’s big challenges, but Michelle Obama believes that we can all locate and lean on a set of tools to help us better navigate change and remain steady within flux. In The Light We Carry, she opens a frank and honest dialogue with readers, considering the questions many of us wrestle with: How do we build enduring and honest relationships? How can we discover strength and community inside our differences? What tools do we use to address feelings of self-doubt or helplessness? What do we do when it all starts to feel like too much? Michelle Obama offers readers a series of fresh stories and insightful reflections on change, challenge, and power, including her belief that when we light up for others, we can illuminate the richness and potential of the world around us, discovering deeper truths and new pathways for progress. Drawing from her experiences as a mother, daughter, spouse, friend, and First Lady, she shares the habits and principles she has developed to successfully adapt to change and overcome various obstacles—the earned wisdom that helps her continue to “become.” She details her most valuable practices, like “starting kind,” “going high,” and assembling a “kitchen table” of trusted friends and mentors. With trademark humor, candor, and compassion, she also explores issues connected to race, gender, and visibility, encouraging readers to work through fear, find strength in community, and live with boldness. “When we are able to recognize our own light, we become empowered to use it,” writes Michelle Obama. A rewarding blend of powerful stories and profound advice that will ignite conversation, The Light We Carry inspires readers to examine their own lives, identify their sources of gladness, and connect meaningfully in a turbulent world."
Baby Steps Millionaires,Dave Ramsey,Philippines,"business, economics","You Can Baby Step Your Way to Becoming aMillionaire Most people know Dave Ramsey as the guy whodid stupid with a lot of zeros on the end. He made his first million in histwenties--the wrong way--and then went bankrupt. That's when he set out to learnGod's ways of managing money and developed the Ramsey Baby Steps. Followingthese steps, Dave became a millionaire again--this time the right way.  After three decades of guiding millions ofothers through the plan, the evidence is undeniable: if you follow the BabySteps, you will become a millionaire and get to live and givelike no one else. In Baby Steps Millionaires, you will. . . Take a deeper look at Baby Step 4 to learn how Daveinvests and builds wealth Learn how to bust through the barriers preventing themfrom becoming a millionaire Hear true stories from ordinary people who dugthemselves out of debt and built wealth Discover how anyone can become a millionaire,especially you Baby Steps Millionaires isn't a book that tells the secrets ofthe rich. It doesn't teach complicated financial concepts reserved only for theelite. As a matter of fact, this information is straightforward, practical, andmaybe even a little boring. But the life you'll lead if you follow the BabySteps is anything but boring! You don't need a large inheritance or the winninglottery number to become a millionaire. Anyone can do it--even today. For thosewho are ready, it's game on!"
Abduction,Mark Gimenez,Philippines,"thriller, fiction, mystery, suspense",
Slow Productivity,Cal Newport,Philippines,"self-help, business","~ Do Fewer Things. Work at a Natural Pace. Obsess over Quality. ~ From the New York Times bestselling author of Digital Minimalism and Deep Work, a groundbreaking philosophy for pursuing meaningful accomplishment while avoiding overload Our current definition of “productivity” is broken. It pushes us to treat busyness as a proxy for useful effort, leading to impossibly lengthy task lists and ceaseless meetings. We’re overwhelmed by all we have to do and on the edge of burnout, left to decide between giving into soul-sapping hustle culture or rejecting ambition altogether. But are these really our only choices? Long before the arrival of pinging inboxes and clogged schedules, history’s most creative and impactful philosophers, scientists, artists, and writers mastered the art of producing valuable work with staying power. In this timely and provocative book, Cal Newport harnesses the wisdom of these traditional knowledge workers to radically transform our modern jobs. Drawing from deep research on the habits and mindsets of a varied cast of storied thinkers – from Galileo and Isaac Newton, to Jane Austen and Georgia O’Keefe – Newport lays out the key principles of “slow productivity,” a more sustainable alternative to the aimless overwhelm that defines our current moment. Combining cultural criticism with systematic pragmatism, Newport deconstructs the absurdities inherent in standard notions of productivity, and then provides step-by-step advice for cultivating a slower, more humane alternative. From the aggressive rethinking of workload management, to introducing seasonal variation, to shifting your performance toward long-term quality, Slow Productivity provides a roadmap for escaping overload and arriving instead at a more timeless approach to pursuing meaningful accomplishment. The world of work is due for a new revolution. Slow productivity is exactly what we need."
Big Sky,Adam Ferguson,Philippines,photography,
Poor Charlie's Almanack,Charles T. Munger,Philippines,"business, inspiration, self-help","From the legendary vice-chairman of Berkshire Hathaway, lessons in investment strategy, philanthropy, and living a rational and ethical life. ""Spend each day trying to be a little wiser than you were when you woke up,"" Charles T. Munger advises in Poor Charlie's Almanack. Originally published in 2005, this compendium of eleven talks delivered by the legendary Berkshire Hathaway vice-chairman between 1986 and 2007 has become a touchstone for a generation of investors and entrepreneurs seeking to absorb the enduring wit and wisdom of one of the great minds of the 20th and 21st centuries. Edited by Peter D. Kaufman, chairman and CEO of Glenair and longtime friend of Charlie Munger--whom he calls ""this generation's answer to Benjamin Franklin""--this abridged Stripe Press edition of Poor Charlie's Almanack features a brand-new foreword by Stripe cofounder John Collison. Poor Charlie's Almanack draws on Munger's encyclopedic knowledge of business, finance, history, philosophy, physics, and ethics--and more besides--to introduce the latticework of mental models that underpin his rational and rigorous approach to life, learning, and decision-making. Delivered with Munger's characteristic sharp wit and rhetorical flair, it is an essential volume for any reader seeking to go to bed a little wiser than when they woke up."
Diary of a CEO,Steven Bartlett,Philippines,"business, inspiration, self-help","A galvanizing playbook for success from Steven Bartlett, one of the world’s most exciting entrepreneurs and the host of the No. 1 podcast The Diary of a CEO ""This is a must-read for anyone dreaming of doing something audacious."" Jay Shetty ""Valuable lessons about the importance of following a different and unconventional path to power.” Robert Greene At the very heart of all the success and failure I've been exposed to - both my own entrepreneurial journey and through the thousands of interviews I’ve conducted on my chart-topping podcast - are a set of principles that ensure excellence. These fundamental laws underpinned my meteoric rise, and they will fuel yours too, whether you want to build something great or become someone great. The laws are rooted in psychology and behavioral science, in my own experiences, and those of the world's most successful entrepreneurs, entertainers, artists, writers, and athletes, who I’ve interviewed on my podcast. These laws will stand the test of time and will help anyone master their life and unleash their potential, no matter the field. They are the secret sauce to success."
Surrounded by Narcissists,Thomas Erikson,Philippines,"business, inspiration, self-help","""Part of the bestselling Surrounded by Idiots series! Internationally bestselling author Thomas Erikson shares the secrets of dealing with everyday narcissists Are the narcissists in your life making you miserable? Are you worn out by their constant demands for attention, their absolute conviction they are right (even when they're clearly not), their determination to do whatever they want (regardless of the impact), and their baffling need to control everyone and everything around them? In this thought-provoking, sanity-saving book, Thomas Erikson helps you understand what makes narcissists tick and, crucially, how to handle them without wearing yourself out in the process. With the help of the simple, four-color behavioral model made famous in Surrounded by Idiots, Erikson provides all the tools you need to manage not just the narcissists around you but everyday narcissistic behaviors as well -something that is becoming more widespread in the age of social media. Engaging and practical, Surrounded by Narcissists will help you free yourself from the thrall of others' toxic agendas so you can pursue a happier, more fulfilling and successful life""--"
