Title,creator,Tags,Number_of_Copies,Description
Pretty Ugly,"David Sedaris, Ian Falconer (Illustrator)","fiction, children",1,"A hilariously quirky monster tale about appreciating beauty--in all its weird and wonderful forms!-- by the creator of the iconic Olivia books and bestselling humorist David Sedaris. Sedaris and Falconer make a spectacular splash with this tale of a monster turned ugly--stuck with a human face! In this beautifully gross picture book, Anna Van Ogre's lovely monster face turns into that of a..."
Prince (Clydesdale Classics),Niccolò Machiavelli,"philosophy, political",2,"Packaged in handsome, affordable trade editions, Clydesdale Classics is a new series of essential works. From the musings of intellectuals such as Thomas Paine in Common Sense to the striking personal narrative of Harriet Jacobs in Incidents in the Life of a Slave Girl, this new series is a comprehensive collection of our intellectual history through the words of the exceptional few. Widely..."
Probe (Star Trek),Margaret Wander Bonanno,fiction,1,"Star Trek quarter century. Now Bonanno presents Star Trek IV--the most popular Star Trek movie of them all. Kirk, Spock and their shipmates find themselves headed for a final confrontation not only mysterious probe, but with the Romulan Empire.--Science Fiction)"
Promised Land,Barack Obama,"biography, new york time best seller, politics",1,
"Psych 101: Psychology Facts, Basics, Statistics, Tests, and More!",Paul Kleinman,personal growth,1,"A hands-on approach to exploring the human mindToo often, textbooks turn the noteworthy theories, principles, and experiments of psychology into tedious discourse that even Freud would want to repress. Psych 101 cuts out the boring details and statistics, and instead, gives you a lesson in psychology that keeps you engaged - and your synapses firing.From personality quizzes and the Rorschach Blot..."
"Psych Experiments: From Pavlov's dogs to Rorschach's inkblots, put psychology's most fascinating studies to the test",Michael A. Britt Ph.D,"psychology, history",1,"Psychology's most famous theories--played out in real life! Forget the labs and lecture halls. You can conduct your very own psych experiments at home! Famous psychological experiments--from Freud's ego to the Skinner box--have changed the way science views human behavior. But how do these tests really work? In Psych Experiments, you'll learn how to test out these theories and experiments for..."
Purple Cane Road: A Novel (Dave Robicheaux Mysteries),James Lee Burke,fiction,1,"Dave Robicheaux has spent his life confronting the age-old adage that the sins of the father pass onto the son. But what has his mother's legacy left him? Dead to him since youth, Mae Guillory has been shuttered away in the deep recesses of Dave's mind. He's lived with the fact that he would never really know what happened to the woman who left him to the devices of his whiskey-..."
Purpose Driven Life: What on Earth am I Here For?,Rick Warren,"non-fiction, Christian literature",1,
Radical Candor,Kim Scott,"non-fiction, business, economics",1,"""Informational and clear, [Radical Candor] is necessary reading for anyone who's having trouble coming to terms with an underperforming workforce."" --Publishers Weekly"
Raving Fans,"Ken Blanchard, Sheldon Bowles","self-help, business",2,Slight wear on cover.
Reasons to Stay Alive,Matt Haig,"nonfiction, self-help, pscyhology",1,"One of Entertainment Weekly's 25 most anticipated books of 2016—Matt Haig’s accessible and life-affirming memoir of his struggle with depression, and how his triumph over the illness taught him to live   Like nearly one in five people, Matt Haig suffers from depression. Reasons to Stay Alive is Matt’s inspiring account of how, minute by minute and day by day, he overcame the disease with..."
"Red, White & Royal Blue",Casey McQuiston,"fiction, novel, romance",1,"A PopSugar Must-Read Book of 2019! What happens when America's First Son falls in love with the Prince of Wales? When his mother became President, Alex Claremont-Diaz was promptly cast as the American equivalent of a young royal. Handsome, charismatic, genius—his image is pure millennial-marketing gold for the White House. There's only one problem: Alex has a beef with the actual prince, Henry,..."
Reflex (Jumper),Steven Gould,fiction,1,"Davy has always been alone.  He believes that he's the only person in the world who can teleport.   But what if he isn't?A mysterious group of people has taken Davy captive.  They don't want to hire him, and they don't have any hope of appealing to him to help them.   What they want is to own him.  They want to use his abilities for their own purposes, whether Davy agrees to it..."
Regretting You,Colleen Hoover,"contemporary, romance, fiction",1,"From #1 New York Times bestselling author of It Ends with Us comes a poignant novel about family, first love, grief, and betrayal that will touch the hearts of both mothers and daughters. Morgan Grant and her sixteen-year-old daughter, Clara, would like nothing more than to be nothing alike. Morgan is determined to prevent her daughter from making the same mistakes she did. By getting pregnant and..."
Remember Me,Christopher Pike,fiction,1,"In this harrowing thriller from bestselling author Christopher Pike, a teen girl must solve the mystery of her own murder before the killer strikes again. After a night spent out with friends, Shari Cooper wakes up in her bed not sure how she got home. And things only get stranger when her family acts like she's not even there. Nothing Shari says gets a response and nothing she does can get..."
Reminders of Him,Colleen Hoover,"fiction, romance, contemporary",1,"A troubled young mother yearns for a shot at redemption in this heartbreaking yet hopeful story from #1 New York Times bestselling author Colleen Hoover. After serving five years in prison for a tragic mistake, Kenna Rowan returns to the town where it all went wrong, hoping to reunite with her four-year-old daughter. But the bridges Kenna burned are proving impossible to rebuild. Everyone in her..."
Return of Sherlock Holmes (Collins Classics),Sir Arthur Conan Doyle,fiction,1,"HarperCollins is proud to present its incredible range of best-loved, essential classics. Originally published in 1903-1904, The Return of Sherlock Holmes is the thirteen-story collection of one of the greatest-ever fictional detectives. Three years after the supposed death of Sherlock Holmes and his archenemy Professor Moriarty in the torrent of Reichenbach Falls, Holmes makes a disguised..."
Rewilding,"David A. Steen, Chiara Fedele (Illustrator), Neon Squid","nonfiction, animals, nature",1,"""A book worth returning to multiple times. A fascinating primer on the intricacies of ecosystems."" -- Kirkus, starred review Discover inspiring stories of wildlife brought back from the brink of extinction in this kids' nonfiction book about animals and the environment. Rewilding means returning animals or plants to places where they used to live. In this book, acclaimed conservation biologist and..."
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,"self-help, business",3,"April 2017 marks 20 years since Robert Kiyosaki’s Rich Dad Poor Dad first made waves in the Personal Finance arena.It has since become the #1 Personal Finance book of all time... translated into dozens of languages and sold around the world.  Rich Dad Poor Dad is Robert's story of growing up with two dads  his real father and the father of his best friend, his rich dad  and the ways in which..."
Rich Dad's Cashflow Quadrant: Guide to Financial Freedom,Robert Kiyosaki,"business, finance",1,Book by Robert Kiyosaki
Richest Man in Babylon,George S. Clason,"business, self-help, personal development",2,"Beloved by millions, this timeless classic holds the key to all you desire and everything you wish to accomplish. This is the book that reveals the secret to personal wealth. The Success Secrets of the Ancients An Assured Road to Happiness and Prosperity Countless readers have been helped by the famous Babylonian parables,” hailed as the greatest of all inspirational works on the subject of..."
Ripley's Believe It or Not! 2025,Ripley,"reference, encyclopedia",1,Ripley's Believe It or Not! is guaranteed to amaze and entertain children and adults alike with its unique blend of weird but true stories and jaw-dropping facts gathered from all over the world. This year... Marvel at the ice caves of Alaska. Find out what very unusual food Icelanders eat at their traditional mid-winter feast. Discover why Lucas the penguin has to wear rubber boots. Hear about...
Sad Girls,Lang Leav,"fiction, coming of age",1,"""Your first love isn't the first person you give your heart to--it's the first one who breaks it."" Sad Girls is the much anticipated debut novel from international best-selling author Lang Leav. A beautifully written and emotionally charged coming of age story, where young love, dark secrets, and tragedy collide. School is almost out for Audrey, but the panic attacks are just beginning. Because..."
Sales 101,Wendy Connick,"self-help, business, economics",1,"Learn the ins and outs of sales techniques with this comprehensive and accessible guide that is the crash course in how to sell anything. Sometimes, it seems like learning a new skill is impossible. But whether you are interested in pursuing a full-times sales career, want to make extra money with sales as a side hustle, or are just looking to turn your hobby into a business, everyone can benefit..."
"Samurai Swords - A Collector's Guide: A Comprehensive Introduction to History, Collecting and Preservation - of the Japanese Sword",Clive Sinclaire,"history, japanese",1,"Japanese swords, particularly those wielded by famous samurai warriors, hold a continuing fascination for collectors of fine arts and historical military weapons. This book is designed to enhance one's appreciation for the wide variety of Japanese swords (as well as their related polearms), their manufacture and their preservation. A fascinating opening chapter explains how the elite Samurai class..."
Sapiens: A Brief History of Humankind,Yuval Noah Harari,"history, new york time best seller",1,"This is The Sunday Times Bestseller. Planet Earth is 4.5 billion years old. In just a fraction of that time, one species among countless others has conquered it. Us. We are the most advanced and most destructive animals ever to have lived. What makes us brilliant? What makes us deadly? What makes us Sapiens? In this bold and provocative book, Yuval Noah Harari explores who we are, how we got here..."
Sapiens: A Brief History of Humankind,Yuval Noah Harari,"history, new york time best seller",2,"100,000 years ago, at least six human species inhabited the earth. Today there is just one. Us. Homo sapiens. How did our species succeed in the battle for dominance? Why did our foraging ancestors come together to create cities and kingdoms? How did we come to believe in gods, nations and human rights; to trust money, books and laws; and to be enslaved by bureaucracy, timetables and consumerism?..."
Sapiens: a Graphic History,Yuval Noah Harari,history,1,"Instant National Bestseller The first volume of the graphic adaptation of Yuval Noah Harari's smash #1 New York Times and international bestseller recommended by President Barack Obama and Bill Gates, with gorgeous full-color illustrations and concise, easy to comprehend text for readers of all ages. One hundred thousand years ago, at least six different species of humans inhabited Earth. Yet..."
Scrum: The Art of Doing Twice the Work in Half the Time,Jeff Sutherland,"business, leadership & management",1,"We live in a world that is broken. For those who believe that there must be a more efficient way for people to get things done, here from Scrum pioneer Jeff Sutherland is a brilliantly discursive, thought-provoking book about the management process that is changing the way we live.   In the future, historians may look back on human progress and draw a sharp line designating “before..."
"Servant Leader: How to Build a Creative Team, Develop Great Morale, and Improve Bottom-Line Performance",James A. Autry,"self-help, business",2,"A Practical Guide to Using the Principles of Servant LeadershipLeadership is a calling. And servant leadership—the idea that managing with respect, honesty, love, and spirituality empowers employees—helps individuals answer that calling. Bestselling author and former Fortune 500 executive James A. Autry reveals the servant leader’s tools, a set of skills and ideals that will..."
Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,historical fiction,1,"“Riveting, heart-wrenching, and full of Old Hollywood glamour, The Seven Husbands of Evelyn Hugo is one of the most captivating reads of 2017.” –Buzzfeed “The epic adventures Evelyn creates over the course of a lifetime will leave every reader mesmerized. This wildly addictive journey of a reclusive Hollywood starlet and her tumultuous Tinseltown journey comes with unexpected twists and..."
Shanghai,Bradley Mayhew,travel,1,"As you immerse yourself in the untold stories and atmospheric photographs of old and new Shanghai, you will come to understand and appreciate this unique city. Let author Chen Danyan be your guide as she takes you on a fascinating tour: Visit an old Western-style house on the Huaihai Road in the former French Concession. Travel along the historic Bund and glimpse the old and new buildings on the..."
Shanghai,Bradley Mayhew,travel,1,"This guide offers information on places to stay, eat and party for travellers of all ages. It suggests itineraries for walking, bus and metro tours as well as information on where to find local treasures, designer clothes and Cultural Revolution pop trash."
Sign of the Four (Collins Classics),Sir Arthur Conan Doyle,"novel, fiction, mystery",1,"HarperCollins is proud to present its incredible range of best-loved, essential classics. 'I abhor the dull routine of existence. I crave for mental exaltation. That is why I have chosen my own particular profession, or rather created it, for I am the only one in the world...' In London, 1888, the razor-sharp detective skills of Sherlock Holmes are to be put to the test. Mary Morstan reports two..."
Silk Roads: A New History of the World - Illustrated Edition,Peter Frankopan,history,1,"The Silk Roads: A New History of the World, declares a childhood obsession with it. In Greek myth two eagles fly from opposite poles of the world until they meet at its center above a place where humans may communicate with the divine. Attempting to retrace the eagles’ course across a map, Frankopan writes that his finger always fell somewhere on western Asia, a region that continued to..."
Simply Philosophy,Brendan Wilson,philosophy,1,"Want the best vacation experience the Philippines has to offer? “Best of the Best: Philippines” now makes it easier to plan; simply mix and match to your heart's content.

This book can be the best travel book about the country’s top destinations for trekking, surfing, and diving.
 
The 200-page hardbound travel guide released by Eastgate Publishing, is fun, easy-to-ready and packed with an..."
Slammed,Colleen Hoover,"novel, fiction, romance",1,
Slaughterhouse Heart,Afsaneh Knight,"fiction, family, coming of age",1,"A stunning story of a father and son's lifetime of secrets, lies and heartbreaks - a startlingly original debut from a new and exhilarating literary talent."
Slaughterhouse-Five,Kurt Vonnegut,"novel, science fiction, satire",1,"Slaughterhous-Five is one of  the world's great anti-war books. Centering on the  infamous fire-bombing of Dresden, Billy Pilgrim's  odyssey through time reflects the mythic journey  of our own fractured lives as we search for meaning  in what we are afraid to know."
Slaughterhouse-Five: the Graphic Novel,"Ryan North, Albert Monteys (Illustrator), Kurt Vonnegut","novel, science fiction, satire",1,"An American classic and one of the world's seminal antiwar books, Kurt Vonnegut's Slaughterhouse-Five is faithfully presented in graphic novel form for the first time from Eisner Award-winning writer Ryan North (How to Invent Everything: A Survival Guide for the Stranded Time Traveler) and Eisner Award-nominated artist Albert Monteys (Universe!). Listen: Billy Pilgrim has... ...read Kilgore Trout..."
Slow Productivity,Cal Newport,"self-help, business",2,"~ Do Fewer Things. Work at a Natural Pace. Obsess over Quality. ~ From the New York Times bestselling author of Digital Minimalism and Deep Work, a groundbreaking philosophy for pursuing meaningful accomplishment while avoiding overload Our current definition of “productivity” is broken. It pushes us to treat busyness as a proxy for useful effort, leading to impossibly lengthy task lists and..."
Soaking in God's Presence,"Leif Hetland, Paul Yadao","spirituality, religion",1,
Solve for Happy: Engineer Your Path to Joy,Mo Gawdat,"business, inspiration, self-help, psychology",2,"In this “powerful personal story woven with a rich analysis of what we all seek” (Sergey Brin, cofounder of Google), Mo Gawdat, Chief Business Officer at Google’s [X], applies his superior logic and problem solving skills to understand how the brain processes joy and sadness—and then he solves for happy.In 2001 Mo Gawdat realized that despite his incredible success, he was desperately..."
Solving the People Puzzle,Peter Rowe,"self-help, business, leadership",1,Why are so few employees team players? Why is one person in five actively sabotaging your business? Why do three in five do the absolute minimum that it takes not to get fired? What does it take to motivate some people? Are people the problem - or could it be you? Maybe it's just a case of finding the right people? They are out there - but research shows they could be as few as 20% of the labour...
Spanish Love Deception :Pretending to be in love never felt better.,ELENA ARMAS,"romance, fiction",1,"""Catalina Martin desperately needs a date to her sister's wedding. Especially since her little white lie about her American boyfriend has spiralled out of control. Now everyone she knows--including her ex and his fiancâee--will be there and eager to meet him. She only has four weeks to find someone willing to cross the Atlantic and aid in her deception. New York to Spain is no short flight and..."
SPEED of Trust: The One Thing that Changes Everything,Stephen M.R. Covey,"self-help, business",1,"From Stephen R. Covey's eldest son comes a revolutionary new path towards productivity and satisfaction. Trust, says Stephen M.R. Covey, is the very basis of the new global economy, and he shows how trust—and the speed at which it is established with clients, employees and constituents—is the essential ingredient for any high–performance, successful organization.  For..."
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,"business, leadership &amp; management",1,"""A powerful and penetrating exploration of what separates great  companies and great leaders from the rest.""-Polly LaBarre, coauthor of Mavericks at Work Why are some people and organizations more innovative, more  influential, and more profitable than others? Why do some command  greater loyalty?In studying the leaders who've had the greatest influence in the  world, Simon Sinek..."
"Startup, Scaleup, Screwup",Jurgen Appelo,"business, management",2,"Real-world tools to build your venture, grow your business, and avoid mistakes Startup, Scaleup, Screwup is an expert guide for emerging and established businesses to accelerate growth, facilitate scalability, and keep pace with the rapidly changing economic landscape. The contemporary marketplace is more dynamic than ever before—increased global competition, the impact of digital transformation..."
Steppenwolf: A Novel (Picador Modern Classics),Hermann Hesse,"novel, autobiography, ",1,"""These pocket-sized titles are stunning....They make the perfect stocking stuffers!"" - Metro""Bought together or separately, these fiction titles are ideal stocking stuffers for the literature lover."" - USA TodayWith its blend of Eastern mysticism and Western culture, Hesse's best-known and most autobiographical work is one of literature's most poetic evocations of the soul's journey to liberation...."
"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow","Tom Rath, Barry Conchie","business, leadership &amp; management",1,"For decades, Gallup scientists have researched the topic of leadership. They’ve surveyed a million work teams, conducted more than 50,000 in-depth interviews with leaders, and even interviewed 20,000 followers to ask what they admired in the most important leader in their life. The results of that research are unveiled in Strengths-Based Leadership. Using Gallup’s discoveries, authors..."
Studio Ghibli: the Complete Works,Studio Studio Ghibli,"comics, art",1,"A must have for Studio Ghibli fans to experience all the classic works and look into the future of one of the most renowned animation studios from Japan! From classics like Nausicaa of the Valley of the Wind to the latest work, Earwig and the Witch, this beautiful art book introduces all 26 acclaimed Studio Ghibli films. Take a deep look into Ghibli's first 3D feature film, Earwig and the Witch,..."
Study in Scarlet: A Sherlock Holmes Adventure (Collins Classics),Sir Arthur Conan Doyle,fiction,1,"HarperCollins is proud to present its new range of best-loved, essential classics. There's the scarlet thread of murder running through the colourless skein of life, and our duty is to unravel it. After a harrowing tour in Afghanistan, Dr Watson returns to London to convalesce at 221B Baker Street, home to the enigmatic Sherlock Holmes. Their lives are irrevocably thrown together by news that a..."
Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"self-help, psychology",1,"New York Times BestsellerIn this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be ""positive"" all the time so that we can truly become better, happier people.For decades, we’ve been told that positive thinking is the key to a happy, rich life. ""F**k positivity,"" Mark Manson says. ""Let’s be honest, shit is f**ked and we have to..."
Subtle Knife,Philip Pullman,fiction,6,"The second volume in Philip Pullman's incredible HIS DARK MATERIALS trilogy. First published in 1997, and acclaimed as a modern masterpiece, it won the UK's top awards for children's literature. ""What is he? A friend, or an enemy?"" ""He is a murderer."" Will has just killed a man. He's on the run. His escape will take him far beyond his own world, to the eerie disquiet of a deserted city, and to a..."
Summons,John Grisham,"fiction, thriller",1,"Once Judge Atlee was a powerful figure in Clanton, Mississippi--a pillar of the community who towered over local law and politics for forty years. Now the judge is a shadow of his former self, a sick, lonely old man who has withdrawn to his sprawling ancestral home. Knowing the end is near, Judge Atlee has issued a summons for his two sons to return to Clanton to discuss his estate. Ray Atlee is..."
Surrounded by Bad Bosses (and Lazy Employees),Thomas Erikson,"leadership, self-help, psychology, nonfiction, business",2,Part of the bestselling Surrounded by Idiots series! Internationally bestselling author Thomas Erikson has helped changed how the world thinks about behavior using a simple 4-color behavior analysis system. In Surrounded by Bad Bosses he applies that same system to revolutionize the workplace. Everyone has had a bad boss. You might have one right now. You might even be one. Bad bosses are a fact...
Surrounded by Idiots,Thomas Erikson,"self-help, business",2,"A runaway bestseller in Sweden that has sold more than a million copies worldwide, Surrounded by Idiots shares a groundbreaking new method of understanding the people around you that will change how you interact with everyone from your coworkers to your spouse. Author Thomas Erikson explains that there are four key behavior types that define how we interact with and perceive the people around us...."
Surrounded by Liars,Thomas Erikson,"self-help, pscyhology",2,"Protect yourself against lies and deception with bestselling author Thomas Erikson's proven behavioral science methods Do you ever have the feeling that your friend isn't telling you the whole story? Or that your colleague's answer doesn't quite add up? Whether in your personal or social life, professional life, or on the news or media, sorting the lies from the truth can be exhausting and make..."
Surrounded by Narcissists,Thomas Erikson,"business, inspiration, self-help",2,"""Part of the bestselling Surrounded by Idiots series! Internationally bestselling author Thomas Erikson shares the secrets of dealing with everyday narcissists Are the narcissists in your life making you miserable? Are you worn out by their constant demands for attention, their absolute conviction they are right (even when they're clearly not), their determination to do whatever they want (..."
Surrounded by Psychopaths,Thomas Erikson,"business, inspiration, self-help, psychology",2,"#1 internationally bestselling author Thomas Erikson shows readers how to identify and avoid the psychopaths around them. Charming, charismatic, and delightful or manipulative, self-serving, and cunning? Psychopaths are both and that's exactly what makes them dangerous. Bestselling author of the international phenomenon Surrounded by Idiots, Thomas Erikson reveals how to identify the psychopaths..."
Suzhou,"Wu Wen, Lan Peijin","history, travel",1,
Sweet Poison,David Gillespie,"self-help, cookbook",1,"David Gillespie was 40kg overweight, lethargic, sleep-deprived and the father of four, with twins on the way. He knew he needed to lose weight fast, but he had run out of diets - all had failed. After doing some reading on evolution (why weren't our forebears fat?), David cut sugar - specifically fructose - from his diet. He immediately started to lose weight, and kept it off. Slim, trim and..."
Teeming: How Superorganisms Work Together to Build Infinite Wealth on a Finite Planet (and your company can too),Tamsin Woolley-Barker,"business, economics",1,"An entertaining and accessible read with profound implications for the future, Teeming takes us on a journey through nature’s most ancient and successful R&D labs, and gives practical prescriptions for redesigning organizations to flourish far into the future. Evolutionary biologist Woolley-Barker weaves poetic vision and deep scientific expertise to illustrate how flat, agile, and adaptive..."
Ten Thousand Skies Above You (Firebird),Claudia Gray,"fiction, romance",1,"In this sequel to A Thousand Pieces of You by New York Times bestselling author Claudia Gray, Marguerite races through various dimensions to save the boy she loves.Ever since she used the Firebird, her parents' invention, to cross through to alternate dimensions, Marguerite has caught the attention of enemies who will do anything to force her into helping them dominate the multiverse—even hurt..."
Then She Was Gone,LISA JEWELL,"fiction, thriller, mystery, crime, suspense",4,"Ten years after her teenage daughter disappears, a woman crosses paths with a charming single father whose young child feels eerily familiar, in this evocative, suspenseful drama from New York Times bestselling author Lisa Jewell—perfect for fans of Paula Hawkins and Liane Moriarty.Ellie Mack was the perfect daughter. She was fifteen, the youngest of three. She was beloved by her parents,..."
Then She Was Gone: A Novel,Lisa Jewell,"self-help, psychology, education",1,"“More than a whiff of The Lovely Bones wafts through this haunting domestic noir from bestseller Jewell…Skillfully told by several narrators (some of them ghostly), Jewell’s gripping novel is an emotionally resonant story of loss, grief, and renewal.” —Publishers Weekly “Jewell teases out her twisty plot at just the right pace, leaving readers on the edge of their seats. Her..."
Things You Can See Only When You Slow Down: How to Be Calm and Mindful in a Fast-Paced World,Haemin Sunim,fiction,1,"A multimillion-copy bestselling book of spiritual wisdom about the importance of slowing down in our fast-paced world“Is it the world that’s busy, or is it my mind?”The world moves fast, but that doesn’t mean we have to. In this bestselling mindfulness guide—it has sold more than three million copies in Korea, where it was a #1 bestseller for forty-one weeks and received multiple Best..."
Think Again: The Power of Knowing What You Don't Know,Adam Grant,"business, inspiration, self-help",2,"#1 New York Times Bestseller “THIS. This is the right book for right now. Yes, learning requires focus. But, unlearning and relearning requires much more—it requires choosing courage over comfort. In Think Again, Adam Grant weaves together research and storytelling to help us build the intellectual and emotional muscle we need to stay curious enough about the world to actually change it. I’..."
Think and Grow Rich: The Landmark Bestseller--Now Revised and Updated for the 21st Century,"Napoleon Hill, Arthur Pell",self-help,2,"Think and Grow Rich has been called the ""Granddaddy of All Motivational Literature."" It was the first book to boldly ask, ""What makes a winner?"" The man who asked and listened for the answer, Napoleon Hill, is now counted in the top ranks of the world's winners himself.   The most famous of all teachers of success spent ""a fortune and the better part of a..."
Think Like a Monk,Jay Shetty,self-help,2,"""Jay Shetty, social media superstar and host of the #1 podcast On Purpose, distills the timeless wisdom he learned as a monk into practical steps anyone can take every day to live a less anxious, more meaningful life""--"
"Thinking, Fast and Slow",Daniel Kahneman,"business, new york time best seller, personal growth",2,"Major New York Times bestsellerWinner of the National Academy of Sciences Best Book Award in 2012Selected by the New York Times Book Review as one of the best books of 2011A Globe and Mail Best Books of the Year 2011 TitleOne of The Economist’s 2011 Books of the Year One of The Wall Steet Journal's Best Nonfiction Books of the Year 2011Daniel Kahneman, recipient of the Nobel Prize..."
This Girl: A Novel,Colleen Hoover,"romance, fiction, novel, contemporary",1,"There are two sides to every love story. Now hear Will’s.  Colleen Hoover’s New York Times bestselling Slammed series has brought countless readers to their knees with a whirlwind of love, passion, and heartache. Layken and Will’s love has managed to withstand the toughest of circumstances, and the young lovers, now married, are beginning to feel safe and secure in their union...."
Thousand Pieces of You (Firebird),Claudia Gray,"fiction, romance",1,"Cloud Atlas meets Orphan Black in this epic dimension-bending trilogy by New York Times bestselling author Claudia Gray about a girl who must chase her father's killer through multiple dimensions.Marguerite Caine's physicist parents are known for their groundbreaking achievements. Their most astonishing invention, called the Firebird, allows users to jump into multiple universes—and promises to..."
Tiny Habits,B. J. Fogg,self-help,1,"The world's leading expert on habit formation shows how you can have a happier, healthier life: by starting small.    Myth: Change is hard. Reality: Change can be easy if you know the simple steps of Behavior Design.   Myth: It's all about willpower. Reality: Willpower is fickle and finite, and exactly the wrong way to create habits.   Myth: You have to make a plan and stick to it. Reality:..."
To Kill a Mockingbird,Harper Lee,fiction,1,"""Shoot all the bluejays you want, if you can hit 'em, but remember it's a sin to kill a mockingbird.""A lawyer's advice to his children as he defends the real mockingbird of Harper Lee's classic novel—a black man charged with the rape of a white girl. Through the young eyes of Scout and Jem Finch, Harper Lee explores with rich humor and unswerving honesty the..."
To Kill a Mockingbird slipcased edition,Harper Lee,fiction,1,"""Shoot all the bluejays you want, if you can hit 'em, but remember it's a sin to kill a mockingbird."" A lawyer's advice to his children as he defends the real mockingbird of Harper Lee's classic novel—a black man charged with the rape of a white girl. Through the young eyes of Scout and Jem Finch, Harper Lee explores with rich humor and unswerving honesty the irrationality of adult attitudes..."
To Kill a Mockingbird: A Graphic Novel,"Harper Lee, Fred Fordham",fiction,1,"A beautifully crafted graphic novel adaptation of Harper Lee’s beloved, Pulitzer prize–winning American classic.""Shoot all the bluejays you want, if you can hit ‘em, but remember it’s a sin to kill a mockingbird.""A haunting portrait of race and class, innocence and injustice, hypocrisy and heroism, tradition and transformation in the Deep South of the 1930s, Harper Lee’s To Kill a..."
Together Is Better: A Little Book of Inspiration,Simon Sinek,inspiration,1,"Most of us live our lives by accident—we live as it happens. Fulfillment comes when we live our lives on purpose.""What are you going to do with your life? What are you doing with your life now?""""Do you have goals? A vision? A clear sense of why you do what you do?""Almost everyone knows someone who has grappled with at least one of these questions. The answers can often seem elusive or uncertain...."
Too Late,Colleen Hoover,"thriller, romance, suspense",1,"A psychological suspense novel of obsession and dangerous love. The new, updated edition of Too Late from the #1 New York Times bestselling author of Verity. Sloan will go through hell and back for those she loves. And she does so, every single day. Caught up with the alluring Asa Jackson, a notorious drug trafficker, Sloan has finally found a lifeline to cling to, even if it's meant compromising..."
Touching the Jaguar,John Perkins,"politics, social science",1,"This all happened while Perkins was a Peace Corps volunteer. Then he became an ""economic hit man"" (EHM), convincing developing countries to build huge projects that put them perpetually in debt to the World Bank and other US-controlled institutions. Although he'd learned in business school that this was the best model for economic development, he came to understand it as a new form of colonialism..."
Toyota Engagement Equation,"Ernie Richardson, Tracey Richardson",business,1,"The formula for Lean success! Toyota veterans reveal how to build continuous improvement into your company's DNA  Ever since Toyota introduced the revolutionary Toyota Production System (TPS), businesses have tried to replicate Toyota's success. Few have succeeded over the long term. What businesses have failed to realize is that TPS calls for a fundamentally different way of thinking. Now, at..."
Trading Code,Jason Cam,finance,1,Technical Guide To Trading And Investing In The Philippine Stock Market
Truth About Trump,Michael D'Antonio,"biography, business",1,Who is the man shaking up the GOP?What does he really stand for?How far will he go in his pursuit of power?This isTHE TRUTH ABOUT TRUMPHe is one of the world’s most successful businessmen―and a man who many Americans love to hate. So how did Donald Trump become a serious contender in the race for the country’s highest office? His critics think his run for president is a marketing campaign...
Tuesdays with Morrie,Mitch Albom,"fiction, philosophy, classics, poetry",1,"Maybe it was a grandparent, or a teacher or a colleague. Someone older, patient and wise, who understood you when you were young and searching, and gave you sound advice to help you make your way through it. For Mitch Albom, that person was Morrie Schwartz, his college professor from nearly twenty years ago. Maybe, like Mitch, you lost track of this mentor as you made your way, and the insights..."
Turn the Ship Around!: A True Story of Turning Followers into Leaders,David Marquet,biography,4,"Leadership should mean giving control rather than taking control and creating leaders rather than forging followers.”   David Marquet, an experienced Navy officer, was used to giving orders. As newly appointed captain of the USS Santa Fe, a nuclear-powered submarine, he was responsible for more than a hundred sailors, deep in the sea. In this high-stress environment, where there is no..."
Ugly Love: A Novel,Colleen Hoover,"romance, fiction",1,"When Tate Collins meets airline pilot Miles Archer, she doesn't think it's love at first sight. They wouldn’t even go so far as to consider themselves friends. The only thing Tate and Miles have in common is an undeniable mutual attraction. Once their desires are out in the open, they realize they have the perfect set-up. He doesn’t want love, she doesn’t have time for..."
Ultimate Book of Airplanes and Airports (The Ultimate Book of),Sophie Bordet-Pétillon,technology,1,"The Ultimate series is a worldwide success because it offers readers an intriguing close-up view of their subject with lots of opportunity for hands-on interaction with flaps, tabs, pop-ups, and more! What better subject than airplanes and airports, endlessly fascinating to children of all ages—from the detailed instruments of a Boeing 747 cockpit to the mysterious innards of a baggage carousel..."
Ultimate Book of Space,"Anne-Sophie Baumann, Olivier Latyck (Illustrator)","nonfiction, encyclopedia, reference",1,"With all the features that madeThe Ultimate Construction Site Book a bestseller, this oversized volume offers a fact-filled and action-packed look at the amazing universe of outer space. Bursting with 40 flaps, pop-ups, pull tabs, and movable parts,The Ultimate Book of Space provides a richly illustrated, hands-on exploration of space travel, the Earth's place in our galaxy, the solar system, and..."
